"long","lat","cluster_id","add.data"
522,179,7,1068
522,180,7,1068
522,181,7,1068
523,178,7,1051
523,179,7,1079
523,180,7,1210
523,181,7,2002
523,182,7,1933
524,178,7,1135
524,179,7,2156
524,180,7,2371
524,181,7,2453
524,182,7,6224
525,177,7,1277
525,178,7,2263
525,179,7,2803
525,180,7,3200
525,181,7,2931
525,182,7,2639
525,183,7,2812
526,176,7,1017
526,177,7,7759
526,178,7,3193
526,179,7,4954
526,180,7,6138
526,181,7,3678
526,182,7,14928
526,183,7,15077
526,186,7,1281
526,187,7,1566
527,177,7,4684
527,178,7,8861
527,179,7,7135
527,180,7,11863
527,181,7,16615
527,182,7,20573
527,183,7,15430
527,184,7,1905
527,185,7,2884
527,186,7,7360
527,187,7,5305
528,174,7,1016
528,175,7,1341
528,177,7,2607
528,178,7,11992
528,179,7,13879
528,180,7,13926
528,181,7,19916
528,182,7,16885
528,183,7,10969
528,184,7,9414
528,185,7,9574
528,186,7,9418
528,187,7,3981
529,173,7,1910
529,174,7,2177
529,175,7,2192
529,176,7,1726
529,177,7,2965
529,178,7,9682
529,179,7,8943
529,180,7,41713
529,181,7,23880
529,182,7,8821
529,183,7,9574
529,184,7,9306
529,185,7,5419
529,186,7,2775
529,187,7,1891
530,173,7,2064
530,174,7,4686
530,175,7,5076
530,176,7,5138
530,177,7,5254
530,178,7,5691
530,179,7,6019
530,180,7,21319
530,181,7,7794
530,182,7,10941
530,183,7,10209
530,184,7,2893
530,185,7,2745
530,186,7,2745
530,187,7,2062
531,171,7,3687
531,172,7,4658
531,173,7,4119
531,174,7,5296
531,175,7,5296
531,176,7,4381
531,177,7,7554
531,178,7,10047
531,179,7,24948
531,180,7,24369
531,181,7,48945
531,182,7,31425
531,183,7,7583
531,184,7,2745
531,185,7,2745
531,186,7,2618
532,171,7,5235
532,172,7,4505
532,173,7,1329
532,174,7,2979
532,175,7,4105
532,176,7,2991
532,177,7,7071
532,178,7,16658
532,179,7,24473
532,180,7,26451
532,181,7,47188
532,182,7,44362
532,183,7,14600
532,184,7,2703
532,185,7,2457
532,186,7,1996
532,187,7,1387
533,170,7,1360
533,171,7,2478
533,172,7,1574
533,173,7,1574
533,174,7,1574
533,175,7,1574
533,176,7,1574
533,177,7,1747
533,178,7,14097
533,179,7,15786
533,180,7,23258
533,181,7,50514
533,182,7,27880
533,183,7,23561
533,184,7,2885
533,185,7,2225
533,186,7,1793
533,187,7,2091
534,172,7,1044
534,173,7,1248
534,174,7,1569
534,175,7,1574
534,176,7,1574
534,177,7,1574
534,178,7,7779
534,179,7,9569
534,180,7,30508
534,181,7,29084
534,182,7,18816
534,183,7,17420
534,184,7,2711
534,185,7,2326
534,186,7,2326
534,187,7,2080
535,174,7,1421
535,175,7,1689
535,176,7,2074
535,177,7,2130
535,178,7,2955
535,179,7,3456
535,180,7,14186
535,181,7,4657
535,182,7,8197
535,183,7,15232
535,184,7,2326
535,185,7,2326
535,186,7,1976
536,175,7,1692
536,176,7,2394
536,177,7,2600
536,178,7,3227
536,179,7,3394
536,180,7,6268
536,181,7,8075
536,182,7,2480
536,183,7,5242
536,184,7,2148
536,185,7,2326
536,186,7,1319
537,176,7,2341
537,177,7,4697
537,178,7,4375
537,179,7,2911
537,180,7,3497
537,181,7,4446
537,182,7,1878
537,183,7,1183
537,184,7,1294
537,185,7,1414
538,176,7,1116
538,177,7,2985
538,178,7,2930
538,179,7,2936
538,180,7,2885
538,181,7,1671
539,176,7,1101
539,177,7,2985
539,178,7,2985
539,179,7,2916
539,180,7,1729
540,177,7,2619
540,178,7,2166
540,179,7,1366
541,179,7,1074
542,177,7,1040
542,178,7,2008
542,179,7,2279
543,177,7,1214
543,178,7,2046
543,179,7,2413
543,180,7,1015
544,180,7,2034
544,181,7,1598
545,181,7,1263
