"","long","lat","cluster_id","add.data"
"4",490,158,2,434
"5",490,159,2,2938
"6",490,160,2,2052
"7",490,161,2,730
"8",490,162,2,841
"9",490,163,2,346
"13",490,177,2,556
"14",490,178,2,1251
"15",490,179,2,568
"16",490,180,2,415
"17",490,181,2,618
"18",490,182,2,699
"19",490,183,2,386
"31",491,157,2,321
"32",491,158,2,368
"33",491,161,2,1025
"34",491,162,2,1461
"35",491,163,2,1622
"40",491,178,2,468
"41",491,181,2,435
"49",492,161,2,2248
"50",492,162,2,1826
"51",492,164,2,1061
"57",492,181,2,3882
"58",492,182,2,2150
"59",492,183,2,892
"66",493,156,2,615
"67",493,157,2,464
"68",493,161,2,663
"69",493,162,2,746
"70",493,163,2,1048
"71",493,164,2,546
"75",493,175,2,1749
"76",493,176,2,3804
"77",493,177,2,386
"78",493,180,2,2805
"79",493,181,2,3938
"80",493,182,2,2150
"81",493,183,2,650
"89",494,156,2,610
"90",494,157,2,499
"91",494,158,2,347
"92",494,159,2,881
"93",494,160,2,860
"94",494,161,2,812
"95",494,162,2,352
"96",494,163,2,386
"100",494,175,2,2918
"101",494,176,2,4504
"102",494,177,2,841
"103",494,178,2,1478
"104",494,179,2,323
"105",494,180,2,3674
"106",494,181,2,3206
"107",494,182,2,4419
"112",494,202,2,927
"113",494,203,2,544
"119",495,157,2,859
"120",495,158,2,947
"121",495,159,2,1652
"122",495,160,2,755
"125",495,175,2,1915
"126",495,176,2,2878
"127",495,177,2,806
"128",495,178,2,653
"129",495,179,2,2967
"130",495,180,2,2378
"131",495,181,2,2053
"132",495,182,2,4859
"133",495,183,2,954
"134",495,184,2,506
"135",495,185,2,359
"136",495,197,2,553
"137",495,198,2,382
"138",495,199,2,757
"139",495,200,2,507
"140",495,201,2,806
"141",495,202,2,3790
"142",495,203,2,2364
"147",496,156,2,309
"148",496,157,2,1051
"149",496,158,2,3360
"151",496,175,2,1702
"152",496,176,2,4247
"153",496,177,2,971
"154",496,178,2,1292
"155",496,179,2,4254
"156",496,180,2,3174
"157",496,181,2,5861
"158",496,182,2,3138
"159",496,183,2,629
"160",496,184,2,814
"161",496,185,2,1423
"162",496,186,2,390
"163",496,191,2,1168
"164",496,192,2,605
"165",496,197,2,2358
"166",496,198,2,2337
"167",496,199,2,1303
"168",496,200,2,1389
"169",496,201,2,1615
"170",496,202,2,4182
"171",496,203,2,1094
"178",497,157,2,1884
"179",497,158,2,5589
"180",497,159,2,2250
"183",497,174,2,411
"184",497,178,2,486
"185",497,179,2,3654
"186",497,180,2,4172
"187",497,181,2,3631
"188",497,183,2,305
"189",497,184,2,965
"190",497,191,2,318
"191",497,197,2,1722
"192",497,198,2,3052
"193",497,199,2,998
"194",497,200,2,473
"195",497,201,2,625
"196",497,202,2,875
"197",497,203,2,527
"206",498,156,2,471
"207",498,157,2,1527
"208",498,158,2,4866
"209",498,159,2,1976
"210",498,170,2,1773
"211",498,171,2,712
"212",498,173,2,780
"213",498,174,2,2143
"214",498,176,2,482
"215",498,177,2,891
"216",498,178,2,616
"217",498,179,2,3440
"218",498,180,2,4153
"219",498,181,2,1792
"220",498,182,2,365
"221",498,183,2,823
"222",498,184,2,936
"223",498,190,2,523
"224",498,191,2,371
"225",498,192,2,814
"226",498,193,2,1231
"227",498,196,2,408
"228",498,197,2,995
"229",498,198,2,351
"238",499,155,2,332
"239",499,156,2,1312
"240",499,157,2,2499
"241",499,158,2,4250
"242",499,159,2,3269
"243",499,167,2,976
"244",499,168,2,559
"245",499,169,2,390
"246",499,170,2,1586
"247",499,171,2,1287
"248",499,173,2,636
"249",499,174,2,1064
"250",499,175,2,453
"251",499,176,2,1397
"252",499,177,2,635
"253",499,178,2,1614
"254",499,179,2,3909
"255",499,180,2,4001
"256",499,181,2,1663
"257",499,186,2,345
"258",499,187,2,1137
"259",499,188,2,828
"260",499,189,2,1111
"261",499,190,2,2299
"262",499,191,2,1663
"263",499,192,2,817
"264",499,193,2,970
"265",499,196,2,303
"266",499,197,2,1741
"267",499,198,2,537
"276",500,156,2,1953
"277",500,157,2,2954
"278",500,158,2,2667
"279",500,159,2,2335
"280",500,160,2,605
"281",500,168,2,592
"282",500,169,2,394
"283",500,170,2,1601
"284",500,171,2,1186
"285",500,172,2,398
"286",500,173,2,330
"287",500,174,2,442
"288",500,175,2,319
"289",500,177,2,381
"290",500,178,2,3082
"291",500,179,2,4175
"292",500,181,2,1008
"293",500,186,2,808
"294",500,187,2,1024
"295",500,188,2,1068
"296",500,189,2,996
"297",500,190,2,1073
"298",500,191,2,2071
"299",500,192,2,669
"300",500,193,2,316
"301",500,195,2,331
"302",500,196,2,315
"303",500,197,2,663
"311",501,155,2,331
"312",501,156,2,839
"313",501,157,2,2543
"314",501,158,2,1938
"315",501,159,2,4264
"316",501,160,2,535
"317",501,162,2,358
"318",501,168,2,610
"319",501,169,2,347
"320",501,170,2,1207
"321",501,171,2,2064
"322",501,172,2,623
"323",501,177,2,1278
"324",501,178,2,4817
"325",501,179,2,3309
