"","long","lat","cluster_id","add.data"
"3",9683,4422,3,460
"4",9684,4420,3,378
"5",9684,4421,3,525
"6",9684,4422,3,438
"7",9684,4423,3,317
"8",9685,4418,3,586
"9",9685,4419,3,964
"10",9685,4420,3,2315
"11",9685,4421,3,972
"12",9685,4422,3,1673
"13",9685,4423,3,1142
"14",9685,4424,3,2305
"15",9685,4425,3,553
"16",9686,4419,3,1016
"17",9686,4420,3,1933
"18",9686,4421,3,2337
"19",9686,4422,3,1660
"20",9686,4424,3,895
"21",9686,4425,3,1051
"22",9687,4419,3,519
"23",9687,4420,3,1704
"24",9687,4421,3,4306
"25",9687,4422,3,5603
"26",9687,4423,3,4218
"27",9687,4424,3,619
"28",9688,4418,3,541
"29",9688,4419,3,1028
"30",9688,4420,3,3038
"31",9688,4421,3,7145
"32",9688,4422,3,7412
"33",9688,4423,3,9233
"34",9688,4424,3,8646
"35",9688,4425,3,843
"36",9688,4426,3,884
"37",9689,4419,3,766
"38",9689,4420,3,1363
"39",9689,4421,3,5930
"40",9689,4422,3,10478
"41",9689,4423,3,3913
"42",9689,4424,3,3017
"43",9689,4426,3,386
"45",9690,4420,3,1112
"46",9690,4421,3,2735
"47",9690,4422,3,5451
"48",9690,4423,3,5991
"50",9691,4421,3,2123
"51",9691,4422,3,1493
"52",9691,4423,3,360
"54",9692,4420,3,383
"55",9692,4421,3,890
"56",9692,4422,3,510
"58",9693,4421,3,461
