"","long","lat","cluster_id","add.data"
"97",9654,4416,22,366
"98",9654,4417,22,412
"108",9655,4416,22,436
"109",9655,4417,22,318
"110",9655,4418,22,583
"111",9655,4421,22,336
"112",9655,4422,22,306
"122",9656,4415,22,405
"123",9656,4416,22,461
"124",9656,4419,22,320
"125",9656,4420,22,406
"126",9656,4421,22,527
"127",9656,4422,22,609
"132",9657,4415,22,303
"133",9657,4418,22,306
"134",9657,4419,22,535
"135",9657,4420,22,480
"136",9657,4421,22,811
"137",9657,4422,22,1098
"138",9657,4423,22,1236
"139",9657,4424,22,1169
"140",9657,4425,22,355
"141",9657,4436,22,381
"142",9657,4437,22,301
"146",9658,4415,22,358
"147",9658,4419,22,587
"148",9658,4420,22,533
"149",9658,4421,22,1118
"150",9658,4422,22,1084
"151",9658,4423,22,1236
"152",9658,4424,22,1128
"153",9658,4425,22,1143
"154",9658,4426,22,646
"155",9658,4434,22,482
"156",9658,4435,22,799
"157",9658,4436,22,879
"158",9658,4437,22,844
"159",9658,4438,22,810
"164",9659,4414,22,387
"165",9659,4415,22,492
"166",9659,4416,22,418
"167",9659,4417,22,419
"168",9659,4418,22,375
"169",9659,4419,22,614
"170",9659,4420,22,916
"171",9659,4421,22,1081
"172",9659,4422,22,936
"173",9659,4423,22,1114
"174",9659,4424,22,1089
"175",9659,4425,22,1422
"176",9659,4426,22,691
"177",9659,4434,22,901
"178",9659,4435,22,954
"179",9659,4436,22,703
"180",9659,4437,22,911
"181",9659,4438,22,623
"182",9659,4439,22,643
"183",9659,4440,22,527
"184",9659,4441,22,642
"185",9659,4442,22,359
"186",9660,4415,22,382
"187",9660,4416,22,510
"188",9660,4417,22,510
"189",9660,4418,22,470
"190",9660,4419,22,519
"191",9660,4420,22,1159
"192",9660,4421,22,1181
"193",9660,4422,22,1501
"194",9660,4423,22,1203
"195",9660,4424,22,1076
"196",9660,4425,22,562
"197",9660,4426,22,901
"198",9660,4432,22,423
"199",9660,4433,22,643
"200",9660,4434,22,1010
"201",9660,4435,22,864
"202",9660,4436,22,799
"203",9660,4437,22,833
"204",9660,4438,22,793
"205",9660,4439,22,794
"206",9660,4440,22,1022
"207",9660,4441,22,879
"208",9660,4442,22,331
"209",9661,4416,22,326
"210",9661,4417,22,573
"211",9661,4418,22,831
"212",9661,4419,22,511
"213",9661,4420,22,608
"214",9661,4421,22,1329
"215",9661,4422,22,1379
"216",9661,4423,22,1140
"217",9661,4424,22,1107
"218",9661,4425,22,911
"219",9661,4426,22,1134
"220",9661,4432,22,658
"221",9661,4433,22,1013
"222",9661,4434,22,958
"223",9661,4435,22,538
"224",9661,4436,22,712
"225",9661,4439,22,742
"226",9661,4440,22,879
"227",9661,4441,22,758
"228",9661,4442,22,886
"229",9661,4443,22,545
"230",9662,4417,22,508
"231",9662,4418,22,837
"232",9662,4419,22,1418
"233",9662,4420,22,577
"234",9662,4421,22,1379
"235",9662,4422,22,1496
"236",9662,4423,22,1484
"237",9662,4424,22,1515
"238",9662,4425,22,1567
"239",9662,4426,22,1379
"240",9662,4432,22,505
"241",9662,4433,22,770
"242",9662,4434,22,678
"243",9662,4435,22,1419
"244",9662,4436,22,915
"245",9662,4437,22,496
"246",9662,4438,22,535
"247",9662,4439,22,902
"248",9662,4440,22,607
"249",9662,4441,22,662
"250",9662,4442,22,856
"251",9662,4443,22,727
"253",9663,4419,22,658
"254",9663,4420,22,500
"255",9663,4421,22,3004
"256",9663,4422,22,3524
"257",9663,4423,22,1265
"258",9663,4424,22,1846
"259",9663,4425,22,1201
"260",9663,4426,22,870
"261",9663,4428,22,850
"262",9663,4429,22,1567
"263",9663,4430,22,1767
"264",9663,4431,22,333
"265",9663,4432,22,668
"266",9663,4433,22,785
"267",9663,4434,22,738
"268",9663,4435,22,782
"269",9663,4436,22,935
"270",9663,4437,22,841
"271",9663,4438,22,601
"272",9663,4439,22,847
"273",9663,4440,22,1168
"274",9663,4441,22,746
"275",9663,4442,22,662
"276",9663,4443,22,728
"281",9664,4421,22,2257
"282",9664,4422,22,1484
"283",9664,4423,22,1635
"284",9664,4424,22,2058
"285",9664,4425,22,2034
"286",9664,4426,22,386
"287",9664,4428,22,1132
"288",9664,4429,22,1010
"289",9664,4430,22,1292
"290",9664,4431,22,767
"291",9664,4432,22,773
"292",9664,4433,22,1015
"293",9664,4434,22,625
"294",9664,4435,22,447
"295",9664,4436,22,806
"296",9664,4437,22,699
"297",9664,4438,22,730
"298",9664,4439,22,743
"299",9664,4440,22,443
"300",9664,4441,22,310
"301",9664,4443,22,323
"306",9665,4421,22,815
"307",9665,4422,22,1228
"308",9665,4423,22,1548
"309",9665,4424,22,2844
"310",9665,4425,22,1190
"311",9665,4428,22,1355
"312",9665,4429,22,1718
"313",9665,4430,22,1584
"314",9665,4431,22,2161
"315",9665,4432,22,1929
"316",9665,4433,22,1980
"317",9665,4434,22,447
"318",9665,4436,22,747
"319",9665,4437,22,428
"320",9665,4442,22,350
"321",9665,4443,22,364
"322",9666,4421,22,410
"323",9666,4422,22,1425
"324",9666,4423,22,1229
"325",9666,4424,22,869
"326",9666,4426,22,1589
"327",9666,4427,22,1397
"328",9666,4428,22,1696
"329",9666,4429,22,2035
"330",9666,4430,22,1306
"331",9666,4431,22,2355
"332",9666,4432,22,1491
"333",9666,4433,22,1581
"334",9666,4434,22,655
"335",9666,4435,22,471
"336",9666,4437,22,343
"337",9666,4438,22,356
"338",9666,4442,22,395
"339",9667,4414,22,683
"340",9667,4416,22,2160
"341",9667,4419,22,1054
"342",9667,4420,22,343
"343",9667,4421,22,557
"344",9667,4422,22,1984
"345",9667,4423,22,780
"346",9667,4424,22,466
"347",9667,4425,22,512
"348",9667,4426,22,2061
"349",9667,4427,22,1954
"350",9667,4428,22,2319
"351",9667,4429,22,1608
"352",9667,4430,22,2310
"353",9667,4431,22,2140
"354",9667,4432,22,1861
"355",9667,4433,22,1384
"356",9667,4434,22,1195
"357",9667,4435,22,364
"358",9667,4436,22,331
"359",9667,4441,22,360
"360",9667,4442,22,344
"361",9668,4412,22,411
"362",9668,4413,22,1546
"363",9668,4414,22,2262
"364",9668,4415,22,1015
"365",9668,4416,22,686
"366",9668,4419,22,1598
"367",9668,4420,22,2530
"368",9668,4421,22,2185
"369",9668,4422,22,713
"370",9668,4423,22,458
"371",9668,4424,22,1743
"372",9668,4425,22,2190
"373",9668,4426,22,2429
"374",9668,4427,22,3063
"375",9668,4428,22,2853
"376",9668,4429,22,1486
"377",9668,4430,22,2302
"378",9668,4431,22,2497
"379",9668,4432,22,900
"380",9668,4433,22,1755
"381",9668,4434,22,1535
"382",9668,4435,22,418
"383",9668,4436,22,351
"384",9668,4437,22,306
"385",9668,4438,22,302
"386",9668,4442,22,306
"387",9669,4400,22,1265
"388",9669,4401,22,876
"389",9669,4402,22,1513
"390",9669,4403,22,1362
"391",9669,4404,22,353
"392",9669,4405,22,407
"393",9669,4406,22,576
"394",9669,4407,22,538
"395",9669,4408,22,630
"396",9669,4412,22,988
"397",9669,4413,22,3038
"398",9669,4414,22,2917
"399",9669,4415,22,3011
"400",9669,4416,22,561
"401",9669,4418,22,921
"402",9669,4419,22,1922
"403",9669,4420,22,1387
"404",9669,4421,22,3342
"405",9669,4422,22,2025
"406",9669,4423,22,2505
"407",9669,4424,22,925
"408",9669,4425,22,1900
"409",9669,4426,22,2079
"410",9669,4427,22,1913
"411",9669,4428,22,2651
"412",9669,4429,22,4433
"413",9669,4430,22,1993
"414",9669,4431,22,1794
"415",9669,4432,22,2117
"416",9669,4433,22,1022
"417",9669,4434,22,1096
"418",9669,4435,22,794
"419",9669,4436,22,684
"420",9669,4437,22,459
"421",9669,4439,22,335
"422",9670,4400,22,722
"423",9670,4402,22,919
"424",9670,4403,22,1110
"425",9670,4404,22,843
"426",9670,4406,22,502
"427",9670,4407,22,1372
"428",9670,4408,22,1319
"429",9670,4409,22,645
"430",9670,4412,22,354
"431",9670,4413,22,2492
"432",9670,4414,22,3018
"433",9670,4415,22,2972
"434",9670,4416,22,1624
"435",9670,4417,22,1446
"436",9670,4418,22,2857
"437",9670,4419,22,3077
"438",9670,4420,22,2559
"439",9670,4421,22,2463
"440",9670,4422,22,2693
"441",9670,4423,22,1430
"442",9670,4424,22,372
"443",9670,4425,22,1876
"444",9670,4426,22,2117
"445",9670,4427,22,2475
"446",9670,4428,22,1595
"447",9670,4429,22,6473
"448",9670,4430,22,3554
"449",9670,4431,22,4798
"450",9670,4432,22,1565
"451",9670,4433,22,319
"452",9670,4434,22,406
"453",9670,4435,22,468
"454",9670,4438,22,397
"455",9670,4439,22,546
"456",9671,4403,22,823
"457",9671,4404,22,621
"458",9671,4405,22,627
"459",9671,4406,22,466
"460",9671,4407,22,747
"461",9671,4408,22,548
"462",9671,4409,22,656
"463",9671,4410,22,722
"464",9671,4411,22,648
"465",9671,4413,22,1785
"466",9671,4414,22,2912
"467",9671,4415,22,2950
"468",9671,4416,22,2003
"469",9671,4417,22,2722
"470",9671,4418,22,3394
"471",9671,4419,22,2873
"472",9671,4420,22,3089
"473",9671,4421,22,2328
"474",9671,4422,22,998
"475",9671,4423,22,918
"476",9671,4424,22,1721
"477",9671,4425,22,1397
"478",9671,4426,22,1638
"479",9671,4427,22,843
"480",9671,4428,22,673
"481",9671,4429,22,3392
"482",9671,4430,22,2273
"483",9671,4431,22,2130
"484",9671,4432,22,496
"485",9671,4439,22,560
"486",9671,4441,22,304
"487",9672,4403,22,483
"488",9672,4404,22,491
"489",9672,4406,22,511
"490",9672,4407,22,980
"491",9672,4409,22,858
"492",9672,4410,22,431
"493",9672,4411,22,384
"494",9672,4412,22,822
"495",9672,4413,22,2796
"496",9672,4414,22,3062
"497",9672,4415,22,1910
"498",9672,4417,22,3024
"499",9672,4418,22,4164
"500",9672,4419,22,7683
"501",9672,4420,22,2755
"502",9672,4421,22,889
"503",9672,4422,22,2116
"504",9672,4423,22,2553
"505",9672,4424,22,3147
"506",9672,4425,22,3441
"507",9672,4426,22,3926
"508",9672,4427,22,412
"509",9672,4431,22,716
"510",9672,4432,22,495
"511",9672,4433,22,396
"512",9672,4434,22,338
"513",9672,4439,22,1045
"514",9672,4440,22,714
"515",9672,4441,22,627
"516",9673,4404,22,771
"517",9673,4405,22,515
"518",9673,4406,22,560
"519",9673,4407,22,492
"520",9673,4408,22,508
"521",9673,4409,22,489
"522",9673,4410,22,818
"523",9673,4411,22,1471
"524",9673,4412,22,1311
"525",9673,4413,22,1420
"526",9673,4414,22,1902
"527",9673,4415,22,1883
"528",9673,4416,22,1250
"529",9673,4417,22,2539
"530",9673,4418,22,2821
"531",9673,4419,22,4904
"532",9673,4420,22,1088
"533",9673,4422,22,842
"534",9673,4423,22,1387
"535",9673,4424,22,2512
"536",9673,4425,22,2181
"537",9673,4426,22,3494
"538",9673,4427,22,1369
"539",9673,4430,22,660
"540",9673,4431,22,2177
"541",9673,4432,22,2124
"542",9673,4433,22,780
"543",9673,4439,22,1179
