xv,yv,rho
490,148,65
491,148,45
492,148,42
493,148,40
494,148,41
495,148,58
496,148,100
497,148,201
498,148,216
499,148,178
500,148,145
501,148,111
502,148,60
503,148,65
504,148,75
505,148,75
506,148,71
507,148,67
508,148,67
509,148,58
510,148,38
511,148,44
512,148,85
513,148,234
514,148,234
515,148,234
516,148,234
517,148,234
518,148,234
519,148,152
520,148,117
521,148,117
522,148,224
523,148,551
524,148,669
525,148,774
526,148,674
527,148,674
528,148,623
529,148,156
530,148,80
531,148,76
532,148,67
533,148,80
534,148,83
535,148,93
536,148,91
537,148,45
538,148,55
539,148,83
540,148,101
541,148,72
542,148,81
543,148,89
544,148,91
545,148,91
546,148,80
547,148,68
548,148,61
549,148,56
550,148,56
551,148,56
552,148,103
553,148,95
554,148,531
555,148,591
556,148,591
557,148,591
558,148,591
559,148,561
560,148,115
561,148,109
562,148,109
563,148,109
564,148,112
565,148,161
566,148,161
567,148,160
568,148,108
569,148,105
570,148,105
571,148,97
572,148,85
573,148,87
490,149,65
491,149,53
492,149,43
493,149,37
494,149,44
495,149,77
496,149,215
497,149,216
498,149,217
499,149,3188
500,149,2089
501,149,515
502,149,81
503,149,80
504,149,76
505,149,75
506,149,69
507,149,67
508,149,64
509,149,61
510,149,39
511,149,44
512,149,118
513,149,234
514,149,234
515,149,234
516,149,234
517,149,234
518,149,234
519,149,148
520,149,117
521,149,117
522,149,423
523,149,663
524,149,1017
525,149,858
526,149,784
527,149,674
528,149,663
529,149,84
530,149,80
531,149,80
532,149,80
533,149,80
534,149,84
535,149,93
536,149,77
537,149,39
538,149,85
539,149,113
540,149,102
541,149,73
542,149,76
543,149,97
544,149,97
545,149,97
546,149,86
547,149,73
548,149,70
549,149,89
550,149,72
551,149,98
552,149,294
553,149,165
554,149,437
555,149,547
556,149,189
557,149,431
558,149,591
559,149,268
560,149,109
561,149,109
562,149,109
563,149,109
564,149,118
565,149,153
566,149,161
567,149,152
568,149,118
569,149,105
570,149,104
571,149,102
572,149,102
573,149,118
490,150,75
491,150,75
492,150,75
493,150,68
494,150,74
495,150,78
496,150,98
497,150,196
498,150,404
499,150,724
500,150,725
501,150,323
502,150,89
503,150,89
504,150,88
505,150,75
506,150,50
507,150,55
508,150,50
509,150,42
510,150,43
511,150,45
512,150,64
513,150,99
514,150,166
515,150,234
516,150,234
517,150,234
518,150,234
519,150,144
520,150,117
521,150,88
522,150,53
523,150,282
524,150,1172
525,150,1134
526,150,674
527,150,674
528,150,662
529,150,101
530,150,80
531,150,80
532,150,80
533,150,80
534,150,82
535,150,93
536,150,68
537,150,39
538,150,96
539,150,113
540,150,95
541,150,73
542,150,74
543,150,94
544,150,97
545,150,97
546,150,83
547,150,73
548,150,93
549,150,95
550,150,77
551,150,165
552,150,294
553,150,280
554,150,558
555,150,466
556,150,72
557,150,482
558,150,591
559,150,266
560,150,109
561,150,109
562,150,109
563,150,111
564,150,147
565,150,161
566,150,131
567,150,105
568,150,105
569,150,105
570,150,105
571,150,102
572,150,102
573,150,123
490,151,75
491,151,75
492,151,75
493,151,76
494,151,78
495,151,78
496,151,78
497,151,291
498,151,725
499,151,725
500,151,661
501,151,315
502,151,89
503,151,89
504,151,86
505,151,50
506,151,47
507,151,50
508,151,50
509,151,39
510,151,43
511,151,45
512,151,54
513,151,79
514,151,107
515,151,173
516,151,137
517,151,114
518,151,122
519,151,107
520,151,117
521,151,86
522,151,51
523,151,220
524,151,768
525,151,854
526,151,587
527,151,595
528,151,645
529,151,117
530,151,80
531,151,80
532,151,80
533,151,80
534,151,83
535,151,93
536,151,54
537,151,40
538,151,111
539,151,113
540,151,90
541,151,73
542,151,73
543,151,84
544,151,97
545,151,97
546,151,84
547,151,74
548,151,95
549,151,95
550,151,76
551,151,255
552,151,294
553,151,294
554,151,337
555,151,302
556,151,88
557,151,86
558,151,137
559,151,95
560,151,76
561,151,72
562,151,82
563,151,86
564,151,106
565,151,161
566,151,169
567,151,112
568,151,105
569,151,101
570,151,103
571,151,99
572,151,133
573,151,164
490,152,75
491,152,75
492,152,75
493,152,76
494,152,77
495,152,78
496,152,78
497,152,141
498,152,653
499,152,395
500,152,289
501,152,84
502,152,87
503,152,90
504,152,86
505,152,56
506,152,46
507,152,50
508,152,50
509,152,42
510,152,43
511,152,45
512,152,52
513,152,79
514,152,78
515,152,72
516,152,66
517,152,66
518,152,66
519,152,70
520,152,109
521,152,79
522,152,53
523,152,98
524,152,258
525,152,180
526,152,161
527,152,42
528,152,110
529,152,81
530,152,82
531,152,80
532,152,80
533,152,80
534,152,86
535,152,93
536,152,52
537,152,60
538,152,113
539,152,103
540,152,73
541,152,73
542,152,73
543,152,86
544,152,97
545,152,97
546,152,78
547,152,74
548,152,95
549,152,92
550,152,70
551,152,269
552,152,294
553,152,294
554,152,294
555,152,143
556,152,88
557,152,77
558,152,72
559,152,69
560,152,76
561,152,88
562,152,81
563,152,72
564,152,74
565,152,106
566,152,111
567,152,171
568,152,122
569,152,115
570,152,94
571,152,83
572,152,166
573,152,200
490,153,75
491,153,72
492,153,55
493,153,58
494,153,74
495,153,77
496,153,78
497,153,78
498,153,79
499,153,97
500,153,162
501,153,233
502,153,105
503,153,90
504,153,89
505,153,63
506,153,64
507,153,52
508,153,50
509,153,41
510,153,43
511,153,45
512,153,57
513,153,79
514,153,74
515,153,67
516,153,66
