"","long","lat","cluster_id","add.data"
"92",9648,4432,18,342
"93",9648,4435,18,1042
"99",9649,4431,18,391
"100",9649,4432,18,817
"101",9649,4433,18,790
"102",9649,4434,18,668
"103",9649,4435,18,1079
"104",9649,4436,18,807
"105",9649,4437,18,306
"106",9649,4440,18,525
"112",9650,4431,18,338
"113",9650,4432,18,766
"114",9650,4433,18,626
"115",9650,4434,18,835
"116",9650,4435,18,1004
"117",9650,4436,18,810
"118",9650,4437,18,670
"119",9650,4439,18,801
"120",9650,4440,18,1434
"121",9650,4441,18,630
"130",9651,4431,18,341
"131",9651,4432,18,797
"132",9651,4433,18,796
"133",9651,4434,18,920
"134",9651,4435,18,572
"135",9651,4437,18,506
"136",9651,4438,18,1476
"137",9651,4439,18,1787
"138",9651,4440,18,730
"139",9651,4441,18,374
"150",9652,4432,18,362
"151",9652,4435,18,1277
"152",9652,4436,18,846
"153",9652,4437,18,1630
"154",9652,4438,18,1555
"155",9652,4439,18,1207
"156",9652,4440,18,1145
"166",9653,4417,18,537
"167",9653,4434,18,523
"168",9653,4435,18,1280
"169",9653,4436,18,2424
"170",9653,4437,18,1896
"171",9653,4438,18,1610
"172",9653,4439,18,1595
"173",9653,4440,18,1479
"179",9654,4415,18,344
"180",9654,4416,18,977
"181",9654,4417,18,1101
"182",9654,4418,18,600
"183",9654,4419,18,561
"184",9654,4420,18,444
"185",9654,4433,18,716
"186",9654,4434,18,1222
"187",9654,4435,18,1111
"188",9654,4436,18,1480
"189",9654,4437,18,1445
"190",9654,4438,18,1130
"191",9654,4439,18,1412
"192",9654,4440,18,1299
"197",9655,4415,18,537
"198",9655,4416,18,1164
"199",9655,4417,18,849
"200",9655,4418,18,1557
"201",9655,4419,18,437
"202",9655,4420,18,572
"203",9655,4421,18,898
"204",9655,4422,18,817
"205",9655,4423,18,533
"206",9655,4433,18,681
"207",9655,4434,18,1248
"208",9655,4435,18,993
"209",9655,4436,18,1251
"210",9655,4437,18,1344
"211",9655,4438,18,1006
"212",9655,4439,18,1350
"213",9655,4440,18,1030
"216",9656,4415,18,1081
"217",9656,4416,18,1232
"218",9656,4417,18,328
"219",9656,4418,18,693
"220",9656,4419,18,853
"221",9656,4420,18,1084
"222",9656,4421,18,1342
"223",9656,4422,18,1121
"224",9656,4423,18,352
"225",9656,4424,18,400
"226",9656,4434,18,380
"227",9656,4438,18,951
"228",9656,4439,18,1435
"231",9657,4415,18,810
"232",9657,4416,18,767
"233",9657,4418,18,818
"234",9657,4419,18,1428
"235",9657,4420,18,1282
"236",9657,4421,18,1612
"237",9657,4422,18,1538
"238",9657,4423,18,1732
"239",9657,4424,18,1637
"240",9657,4425,18,497
"241",9657,4436,18,693
"242",9657,4437,18,548
"243",9657,4438,18,520
"244",9657,4439,18,945
"245",9657,4440,18,394
"250",9658,4414,18,320
"251",9658,4415,18,956
"252",9658,4416,18,516
"253",9658,4418,18,659
"254",9658,4419,18,1567
"255",9658,4420,18,1423
"256",9658,4421,18,1757
"257",9658,4422,18,1519
"258",9658,4423,18,1732
"259",9658,4424,18,1580
"260",9658,4425,18,1601
"261",9658,4426,18,905
"262",9658,4434,18,876
"263",9658,4435,18,1453
"264",9658,4436,18,1598
"265",9658,4437,18,1534
"266",9658,4438,18,1471
"267",9658,4439,18,301
"275",9659,4414,18,928
"276",9659,4415,18,1315
"277",9659,4416,18,1114
"278",9659,4417,18,1120
"279",9659,4418,18,1003
"280",9659,4419,18,1640
"281",9659,4420,18,1757
"282",9659,4421,18,1514
"283",9659,4422,18,1311
"284",9659,4423,18,1560
"285",9659,4424,18,1526
"286",9659,4425,18,1991
"287",9659,4426,18,968
"288",9659,4433,18,353
"289",9659,4434,18,1638
"290",9659,4435,18,1734
"291",9659,4436,18,1278
"292",9659,4437,18,1656
"293",9659,4438,18,1133
"294",9659,4439,18,1170
"295",9659,4440,18,958
"296",9659,4441,18,1166
"297",9659,4442,18,652
"298",9660,4413,18,317
"299",9660,4414,18,416
"300",9660,4415,18,1019
"301",9660,4416,18,1361
"302",9660,4417,18,1363
"303",9660,4418,18,1255
"304",9660,4419,18,1299
"305",9660,4420,18,1747
"306",9660,4421,18,1653
"307",9660,4422,18,2102
"308",9660,4423,18,1684
"309",9660,4424,18,1506
"310",9660,4425,18,787
"311",9660,4426,18,1262
"312",9660,4432,18,769
"313",9660,4433,18,1169
"314",9660,4434,18,1836
"315",9660,4435,18,1570
"316",9660,4436,18,1453
"317",9660,4437,18,1514
"318",9660,4438,18,1442
"319",9660,4439,18,1444
"320",9660,4440,18,1857
"321",9660,4441,18,1596
"322",9660,4442,18,601
"323",9661,4416,18,872
"324",9661,4417,18,1530
"325",9661,4418,18,2219
"326",9661,4419,18,1345
"327",9661,4420,18,964
"328",9661,4421,18,1861
"329",9661,4422,18,1931
"330",9661,4423,18,1596
"331",9661,4424,18,1551
"332",9661,4425,18,1275
"333",9661,4426,18,1588
"334",9661,4432,18,1196
"335",9661,4433,18,1842
"336",9661,4434,18,1742
"337",9661,4435,18,978
"338",9661,4436,18,1293
"339",9661,4438,18,489
"340",9661,4439,18,1348
"341",9661,4440,18,1598
"342",9661,4441,18,1378
"343",9661,4442,18,1610
"344",9661,4443,18,990
"345",9662,4417,18,1358
"346",9662,4418,18,2235
"347",9662,4419,18,3785
"348",9662,4420,18,875
"349",9662,4421,18,1931
"350",9662,4422,18,2094
"351",9662,4423,18,2079
"352",9662,4424,18,2123
"353",9662,4425,18,2194
"354",9662,4426,18,1931
"355",9662,4427,18,346
"356",9662,4432,18,918
"357",9662,4433,18,1400
"358",9662,4434,18,1232
"359",9662,4435,18,2578
"360",9662,4436,18,1664
"361",9662,4437,18,902
"362",9662,4438,18,972
"363",9662,4439,18,1639
"364",9662,4440,18,1104
"365",9662,4441,18,1204
