xv,yv,rho
490,148,50
491,148,49
492,148,46
493,148,40
494,148,44
495,148,93
496,148,115
497,148,168
498,148,175
499,148,151
500,148,131
501,148,111
502,148,79
503,148,83
504,148,90
505,148,90
506,148,85
507,148,81
508,148,81
509,148,69
510,148,49
511,148,68
512,148,96
513,148,172
514,148,172
515,148,172
516,148,172
517,148,172
518,148,172
519,148,133
520,148,115
521,148,115
522,148,75
523,148,20
524,148,3
525,148,3
526,148,3
527,148,3
528,148,13
529,148,74
530,148,89
531,148,85
532,148,74
533,148,88
534,148,88
535,148,86
536,148,85
537,148,61
538,148,61
539,148,78
540,148,95
541,148,90
542,148,100
543,148,107
544,148,111
545,148,112
546,148,104
547,148,95
548,148,92
549,148,89
550,148,89
551,148,89
552,148,123
553,148,100
554,148,227
555,148,245
556,148,245
557,148,245
558,148,245
559,148,237
560,148,130
561,148,129
562,148,129
563,148,129
564,148,134
565,148,226
566,148,228
567,148,227
568,148,161
569,148,157
570,148,155
571,148,135
572,148,120
573,148,122
490,149,93
491,149,78
492,149,65
493,149,58
494,149,67
495,149,102
496,149,143
497,149,210
498,149,437
499,149,936
500,149,717
501,149,301
502,149,119
503,149,86
504,149,95
505,149,93
506,149,86
507,149,84
508,149,82
509,149,73
510,149,64
511,149,77
512,149,108
513,149,150
514,149,164
515,149,170
516,149,170
517,149,169
518,149,162
519,149,135
520,149,117
521,149,104
522,149,83
523,149,123
524,149,308
525,149,341
526,149,290
527,149,216
528,149,88
529,149,80
530,149,87
531,149,87
532,149,85
533,149,87
534,149,87
535,149,84
536,149,77
537,149,68
538,149,80
539,149,92
540,149,97
541,149,95
542,149,103
543,149,118
544,149,124
545,149,122
546,149,110
547,149,99
548,149,100
549,149,105
550,149,108
551,149,135
552,149,182
553,149,176
554,149,209
555,149,211
556,149,184
557,149,205
558,149,218
559,149,186
560,149,140
561,149,130
562,149,130
563,149,136
564,149,160
565,149,204
566,149,207
567,149,189
568,149,163
569,149,156
570,149,151
571,149,141
572,149,140
573,149,154
490,150,123
491,150,111
492,150,104
493,150,95
494,150,93
495,150,104
496,150,127
497,150,169
498,150,274
499,150,482
500,150,385
501,150,191
502,150,97
503,150,87
504,150,109
505,150,104
506,150,91
507,150,90
508,150,88
509,150,77
510,150,72
511,150,79
512,150,98
513,150,124
514,150,144
515,150,159
516,150,161
517,150,159
518,150,152
519,150,130
