xv,yv,rho
490,148,189
491,148,185
492,148,178
493,148,164
494,148,175
495,148,284
496,148,330
497,148,438
498,148,451
499,148,403
500,148,363
501,148,321
502,148,254
503,148,263
504,148,278
505,148,278
506,148,266
507,148,257
508,148,257
509,148,232
510,148,185
511,148,229
512,148,290
513,148,445
514,148,445
515,148,445
516,148,445
517,148,445
518,148,445
519,148,366
520,148,330
521,148,330
522,148,245
523,148,113
524,148,57
525,148,57
526,148,57
527,148,57
528,148,90
529,148,241
530,148,275
531,148,266
532,148,241
533,148,272
534,148,272
535,148,269
536,148,266
537,148,213
538,148,213
539,148,251
540,148,287
541,148,278
542,148,298
543,148,313
544,148,321
545,148,324
546,148,307
547,148,287
548,148,281
549,148,275
550,148,275
551,148,275
552,148,347
553,148,298
554,148,552
555,148,586
556,148,586
557,148,586
558,148,586
559,148,572
560,148,360
561,148,358
562,148,358
563,148,358
564,148,368
565,148,549
566,148,554
567,148,552
568,148,422
569,148,414
570,148,411
571,148,371
572,148,341
573,148,344
490,149,284
491,149,253
492,149,237
493,149,231
494,149,250
495,149,310
496,149,381
497,149,482
498,149,565
499,149,596
500,149,555
501,149,460
502,149,361
503,149,311
504,149,293
505,149,284
506,149,274
507,149,265
508,149,257
509,149,244
510,149,234
511,149,259
512,149,307
513,149,377
514,149,405
515,149,418
516,149,421
517,149,417
518,149,402
519,149,364
520,149,336
521,149,323
522,149,306
523,149,301
524,149,322
525,149,335
526,149,311
527,149,268
528,149,241
529,149,260
530,149,268
531,149,266
532,149,261
533,149,267
534,149,267
535,149,263
536,149,256
537,149,241
538,149,245
539,149,264
540,149,282
541,149,290
542,149,303
543,149,317
544,149,325
545,149,325
546,149,315
547,149,304
548,149,302
549,149,309
550,149,327
551,149,357
552,149,401
553,149,426
554,149,504
555,149,526
556,149,524
557,149,518
558,149,506
559,149,474
560,149,397
561,149,373
562,149,371
563,149,384
564,149,415
565,149,480
566,149,495
567,149,482
568,149,436
569,149,417
570,149,407
571,149,394
572,149,390
573,149,409
490,150,347
491,150,302
492,150,282
493,150,276
494,150,288
495,150,326
496,150,390
497,150,482
498,150,579
499,150,631
500,150,595
501,150,494
502,150,390
503,150,329
504,150,304
505,150,292
506,150,282
507,150,272
508,150,263
509,150,254
510,150,252
511,150,269
512,150,303
513,150,344
514,150,373
515,150,389
516,150,394
517,150,389
518,150,374
519,150,350
520,150,329
521,150,323
522,150,341
523,150,390
524,150,450
525,150,471
526,150,433
527,150,364
528,150,305
529,150,279
530,150,271
531,150,268
532,150,266
533,150,266
534,150,264
535,150,260
536,150,255
537,150,253
538,150,261
539,150,273
540,150,284
541,150,293
542,150,305
543,150,319
544,150,329
545,150,328
546,150,321
547,150,315
548,150,318
549,150,334
550,150,366
551,150,410
552,150,454
553,150,481
554,150,500
555,150,494
556,150,476
557,150,461
558,150,446
559,150,421
560,150,387
561,150,371
562,150,373
563,150,391
564,150,420
565,150,452
566,150,462
567,150,452
568,150,431
569,150,418
570,150,413
571,150,415
572,150,424
573,150,419
490,151,347
491,151,322
492,151,306
493,151,298
494,151,303
495,151,325
496,151,369
497,151,436
498,151,508
499,151,547
500,151,520
501,151,445
502,151,371
503,151,328
504,151,309
505,151,298
506,151,288
507,151,278
508,151,268
509,151,259
510,151,258
511,151,270
512,151,293
513,151,322
