"","long","lat","cluster_id","add.data"
"2",9686,4421,2,303
"3",9686,4422,2,433
"4",9686,4423,2,338
"5",9687,4421,2,486
"6",9687,4422,2,2075
"7",9687,4423,2,3398
"8",9687,4424,2,1000
"9",9688,4419,2,420
"10",9688,4420,2,596
"11",9688,4421,2,1190
"12",9688,4422,2,6450
"13",9688,4423,2,5043
"14",9688,4424,2,8567
"15",9688,4425,2,573
"16",9689,4419,2,394
"17",9689,4420,2,421
"18",9689,4421,2,568
"19",9689,4422,2,2178
"20",9689,4423,2,3070
"21",9689,4424,2,3216
"22",9690,4422,2,739
"23",9690,4423,2,871
"24",9691,4421,2,316
"25",9691,4422,2,371
